code,question
1_QID22,1_YD-7 - Weather information - How well do Guana Estuary data on [Field-1] generally satisfy your need(s)?
2_QID17,2_YD-2 - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Water quality information (including nutrients and algae) - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Selected Choice
2_QID17_2_TEXT,"2_YD-2_2_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Water quality information (including nutrients and algae) - Download from website (If so, what website?) - Text"
2_QID17_4_TEXT,2_YD-2_4_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Water quality information (including nutrients and algae) - Other (please specify) - Text
2_QID18_1,2_YD-3_1 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Easy/convenient to access
2_QID18_2,2_YD-3_2 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Data is received quickly after request
2_QID18_3,2_YD-3_3 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Requesting the data is quick
2_QID18_4,2_YD-3_4 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is useful
2_QID18_6,2_YD-3_6 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no advantages
2_QID18_5,2_YD-3_5 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)
2_QID18_5_TEXT,2_YD-3_5_TEXT - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - Other (please specify) - Text
2_QID19_1,2_YD-4_1 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Difficult/Complicated to access
2_QID19_2,2_YD-4_2 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Slow to receive
2_QID19_3,2_YD-4_3 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Time consuming to request
2_QID19_4,2_YD-4_4 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is not user-friendly
2_QID19_6,2_YD-4_6 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no disadvantages
2_QID19_5,2_YD-4_5 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)
2_QID19_5_TEXT,2_YD-4_5_TEXT - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - Other (please specify) - Text
2_QID20,2_YD-5 - Water quality information (including nutrients and algae) - How often do/did you access or obtain Guana Estuary data on [Field-1]?
2_QID21_1,2_YD-6_1 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Research
2_QID21_2,2_YD-6_2 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Educational purposes
2_QID21_3,2_YD-6_3 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Work-related purposes (not research or education)
2_QID21_4,2_YD-6_4 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Decision making (for recreational/educational/scientific visits)
2_QID21_5,2_YD-6_5 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Monitoring
2_QID21_6,2_YD-6_6 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Other (please specify)
2_QID21_6_TEXT,2_YD-6_6_TEXT - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - Other (please specify) - Text
2_QID22,2_YD-7 - Water quality information (including nutrients and algae) - How well do Guana Estuary data on [Field-1] generally satisfy your need(s)?
3_QID17,"3_YD-2 - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Water level information (tides, Guana lake, river) - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Selected Choice"
3_QID17_2_TEXT,"3_YD-2_2_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Water level information (tides, Guana lake, river) - Download from website (If so, what website?) - Text"
3_QID17_4_TEXT,"3_YD-2_4_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Water level information (tides, Guana lake, river) - Other (please specify) - Text"
3_QID18_1,"3_YD-3_1 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Easy/convenient to access"
3_QID18_2,"3_YD-3_2 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Data is received quickly after request"
3_QID18_3,"3_YD-3_3 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Requesting the data is quick"
3_QID18_4,"3_YD-3_4 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is useful"
3_QID18_6,"3_YD-3_6 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no advantages"
3_QID18_5,"3_YD-3_5 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)"
3_QID18_5_TEXT,"3_YD-3_5_TEXT - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - Other (please specify) - Text"
3_QID19_1,"3_YD-4_1 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Difficult/Complicated to access"
3_QID19_2,"3_YD-4_2 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Slow to receive"
3_QID19_3,"3_YD-4_3 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Time consuming to request"
3_QID19_4,"3_YD-4_4 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is not user-friendly"
3_QID19_6,"3_YD-4_6 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no disadvantages"
3_QID19_5,"3_YD-4_5 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)"
3_QID19_5_TEXT,"3_YD-4_5_TEXT - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - Other (please specify) - Text"
3_QID20,"3_YD-5 - Water level information (tides, Guana lake, river) - How often do/did you access or obtain Guana Estuary data on [Field-1]?"
3_QID21_1,"3_YD-6_1 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water level information (tides, Guana lake, river) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Research"
3_QID21_2,"3_YD-6_2 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water level information (tides, Guana lake, river) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Educational purposes"
3_QID21_3,"3_YD-6_3 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water level information (tides, Guana lake, river) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Work-related purposes (not research or education)"
3_QID21_4,"3_YD-6_4 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water level information (tides, Guana lake, river) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Decision making (for recreational/educational/scientific visits)"
3_QID21_5,"3_YD-6_5 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water level information (tides, Guana lake, river) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Monitoring"
3_QID21_6,"3_YD-6_6 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water level information (tides, Guana lake, river) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Other (please specify)"
3_QID21_6_TEXT,"3_YD-6_6_TEXT - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water level information (tides, Guana lake, river) - Other (please specify) - Text"
3_QID22,"3_YD-7 - Water level information (tides, Guana lake, river) - How well do Guana Estuary data on [Field-1] generally satisfy your need(s)?"
4_QID17,4_YD-2 - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Reserve or trail closures - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Selected Choice
4_QID17_2_TEXT,"4_YD-2_2_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Reserve or trail closures - Download from website (If so, what website?) - Text"
4_QID17_4_TEXT,4_YD-2_4_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Reserve or trail closures - Other (please specify) - Text
4_QID18_1,4_YD-3_1 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Easy/convenient to access
4_QID18_2,4_YD-3_2 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Data is received quickly after request
4_QID18_3,4_YD-3_3 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Requesting the data is quick
4_QID18_4,4_YD-3_4 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is useful
4_QID18_6,4_YD-3_6 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no advantages
4_QID18_5,4_YD-3_5 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)
4_QID18_5_TEXT,4_YD-3_5_TEXT - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - Other (please specify) - Text
4_QID19_1,4_YD-4_1 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Difficult/Complicated to access
4_QID19_2,4_YD-4_2 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Slow to receive
4_QID19_3,4_YD-4_3 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Time consuming to request
4_QID19_4,4_YD-4_4 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is not user-friendly
4_QID19_6,4_YD-4_6 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no disadvantages
4_QID19_5,4_YD-4_5 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)
4_QID19_5_TEXT,4_YD-4_5_TEXT - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Reserve or trail closures - Other (please specify) - Text
4_QID20,4_YD-5 - Reserve or trail closures - How often do/did you access or obtain Guana Estuary data on [Field-1]?
4_QID21_1,4_YD-6_1 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Reserve or trail closures - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Research
4_QID21_2,4_YD-6_2 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Reserve or trail closures - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Educational purposes
4_QID21_3,4_YD-6_3 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Reserve or trail closures - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Work-related purposes (not research or education)
4_QID21_4,4_YD-6_4 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Reserve or trail closures - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Decision making (for recreational/educational/scientific visits)
4_QID21_5,4_YD-6_5 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Reserve or trail closures - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Monitoring
4_QID21_6,4_YD-6_6 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Reserve or trail closures - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Other (please specify)
4_QID21_6_TEXT,4_YD-6_6_TEXT - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Reserve or trail closures - Other (please specify) - Text
4_QID22,4_YD-7 - Reserve or trail closures - How well do Guana Estuary data on [Field-1] generally satisfy your need(s)?
5_QID17,5_YD-2 - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Information on vegetation (salt marsh or uplands) - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Selected Choice
5_QID17_2_TEXT,"5_YD-2_2_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Information on vegetation (salt marsh or uplands) - Download from website (If so, what website?) - Text"
5_QID17_4_TEXT,5_YD-2_4_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Information on vegetation (salt marsh or uplands) - Other (please specify) - Text
5_QID18_1,5_YD-3_1 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Information on vegetation (salt marsh or uplands) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Easy/convenient to access
5_QID18_2,5_YD-3_2 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Information on vegetation (salt marsh or uplands) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Data is received quickly after request
5_QID18_3,5_YD-3_3 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Information on vegetation (salt marsh or uplands) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Requesting the data is quick
5_QID18_4,5_YD-3_4 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Information on vegetation (salt marsh or uplands) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is useful
5_QID18_6,5_YD-3_6 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Information on vegetation (salt marsh or uplands) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no advantages
5_QID18_5,5_YD-3_5 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Information on vegetation (salt marsh or uplands) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)
5_QID18_5_TEXT,5_YD-3_5_TEXT - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Information on vegetation (salt marsh or uplands) - Other (please specify) - Text
5_QID19_1,5_YD-4_1 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Information on vegetation (salt marsh or uplands) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Difficult/Complicated to access
